Year,Age,Sex,Immigrations,Emigrations,Migration_balance,MaleBirths,FemaleBirths,TotalBirths,Deaths,Population,GDP_per_capita,Health_expenditure_pct_GDP,Unemployment
1957,2,Male,0.0,0.0,0.0,0.0,0.0,0.0,884.0,0.0,,,
1957,3,Female,0.0,0.0,0.0,0.0,0.0,0.0,511.0,0.0,,,
1957,3,Male,0.0,0.0,0.0,0.0,0.0,0.0,660.0,0.0,,,
1957,4,Female,0.0,0.0,0.0,0.0,0.0,0.0,404.0,0.0,,,
1957,4,Male,0.0,0.0,0.0,0.0,0.0,0.0,515.0,0.0,,,
1957,5,Female,0.0,0.0,0.0,0.0,0.0,0.0,354.0,0.0,,,
1957,5,Male,0.0,0.0,0.0,0.0,0.0,0.0,472.0,0.0,,,
1957,6,Female,0.0,0.0,0.0,0.0,0.0,0.0,267.0,0.0,,,
1957,6,Male,0.0,0.0,0.0,0.0,0.0,0.0,425.0,0.0,,,
1957,7,Female,0.0,0.0,0.0,0.0,0.0,0.0,220.0,0.0,,,
1957,7,Male,0.0,0.0,0.0,0.0,0.0,0.0,425.0,0.0,,,
1957,8,Female,0.0,0.0,0.0,0.0,0.0,0.0,174.0,0.0,,,
1957,8,Male,0.0,0.0,0.0,0.0,0.0,0.0,319.0,0.0,,,
1957,9,Female,0.0,0.0,0.0,0.0,0.0,0.0,174.0,0.0,,,
1957,9,Male,0.0,0.0,0.0,0.0,0.0,0.0,277.0,0.0,,,
1957,10,Female,0.0,0.0,0.0,0.0,0.0,0.0,154.0,0.0,,,
1957,10,Male,0.0,0.0,0.0,0.0,0.0,0.0,257.0,0.0,,,
1957,11,Female,0.0,0.0,0.0,0.0,0.0,0.0,117.0,0.0,,,
1957,11,Male,0.0,0.0,0.0,0.0,0.0,0.0,187.0,0.0,,,
1957,12,Female,0.0,0.0,0.0,0.0,0.0,0.0,140.0,0.0,,,
1957,12,Male,0.0,0.0,0.0,0.0,0.0,0.0,227.0,0.0,,,
1957,13,Female,0.0,0.0,0.0,0.0,0.0,0.0,186.0,0.0,,,
1957,13,Male,0.0,0.0,0.0,0.0,0.0,0.0,285.0,0.0,,,
1957,14,Female,0.0,0.0,0.0,0.0,0.0,0.0,194.0,0.0,,,
1957,14,Male,0.0,0.0,0.0,0.0,0.0,0.0,360.0,0.0,,,
1957,15,Female,0.0,0.0,0.0,0.0,0.0,0.0,298.0,0.0,,,
1957,15,Male,0.0,0.0,0.0,0.0,0.0,0.0,516.0,0.0,,,
1957,16,Female,0.0,0.0,0.0,0.0,0.0,0.0,314.0,0.0,,,
1957,16,Male,0.0,0.0,0.0,0.0,0.0,0.0,695.0,0.0,,,
1957,17,Female,0.0,0.0,0.0,0.0,0.0,0.0,382.0,0.0,,,
1957,17,Male,0.0,0.0,0.0,0.0,0.0,0.0,813.0,0.0,,,
1957,18,Female,0.0,0.0,0.0,0.0,0.0,0.0,375.0,0.0,,,
1957,18,Male,0.0,0.0,0.0,0.0,0.0,0.0,1016.0,0.0,,,
1957,19,Female,0.0,0.0,0.0,0.0,0.0,0.0,419.0,0.0,,,
1957,19,Male,0.0,0.0,0.0,0.0,0.0,0.0,1104.0,0.0,,,
1957,20,Female,0.0,0.0,0.0,0.0,0.0,0.0,434.0,0.0,,,
1957,20,Male,0.0,0.0,0.0,0.0,0.0,0.0,1190.0,0.0,,,
1957,21,Female,0.0,0.0,0.0,0.0,0.0,0.0,390.0,0.0,,,
1957,21,Male,0.0,0.0,0.0,0.0,0.0,0.0,1253.0,0.0,,,
1957,22,Female,0.0,0.0,0.0,0.0,0.0,0.0,452.0,0.0,,,
1957,22,Male,0.0,0.0,0.0,0.0,0.0,0.0,1133.0,0.0,,,
1957,23,Female,0.0,0.0,0.0,0.0,0.0,0.0,384.0,0.0,,,
1957,23,Male,0.0,0.0,0.0,0.0,0.0,0.0,991.0,0.0,,,
1957,24,Female,0.0,0.0,0.0,0.0,0.0,0.0,361.0,0.0,,,
1957,24,Male,0.0,0.0,0.0,0.0,0.0,0.0,843.0,0.0,,,
